distance,from,to
0.2592083631644364,1,2
0.23035572927110703,1,3
0.4745585076649196,1,4
0.12405407435774951,1,5
0.1351932607153037,1,6
0.2616313676825851,1,7
0.2592083631644364,2,1
0.02885263389332937,2,3
0.21535014450048318,2,4
0.3832624375221859,2,5
0.12401510244913272,2,6
0.0024230045181486972,7,
0.23035572927110703,3,1
0.02885263389332937,3,2
0.24420277839381255,3,4
0.35440980362885655,3,5
0.09516246855580335,3,6
0.03127563841147807,3,7
0.4745585076649196,4,1
0.21535014450048318,4,2
0.24420277839381255,4,3
0.5986125820226691,4,5
0.3393652469496159,4,6
0.21292713998233448,4,7
0.12405407435774951,5,1
0.3832624375221859,5,2
0.35440980362885655,5,3
0.5986125820226691,5,4
0.2592473350730532,5,6
0.3856854420403346,5,7
0.1351932607153037,6,1
0.12401510244913272,6,2
0.09516246855580335,6,3
0.3393652469496159,6,4
0.2592473350730532,6,5
0.12643810696728142,6,7
0.2616313676825851,7,1
0.0024230045181486977,2,
0.03127563841147807,7,3
0.21292713998233448,7,4
0.3856854420403346,7,5
0.126438106967281427,6
